artist,technique,width_cm,height_cm,year_painted,auction_house,sale_year,price_usd
Claude Monet,pastel,158,35,1960,Christie's,2010,183372
Yuki Tanaka,pastel,60,34,2010,Christie's,2023,3930
Rashid Karimov,oil,192,80,1983,Christie's,2024,23275
Elena Costa,pastel,30,178,1900,Bonhams,2020,10696
Yuki Tanaka,acrylic,86,72,1960,Sotheby's,2014,30968
Jeff Koons,mixed_media,100,38,1882,Bonhams,2019,242443
Salvador Dali,oil,157,74,2009,Phillips,2012,568015
Vincent van Gogh,watercolor,114,92,1920,Bonhams,2023,714922
Jeff Koons,pastel,187,155,1882,Heritage Auctions,2014,949493
Salvador Dali,watercolor,87,49,1907,Heritage Auctions,2012,90863
Rashid Karimov,watercolor,107,72,1947,Heritage Auctions,2017,4945
Claude Monet,oil,182,128,1950,Christie's,2010,1338291
Andy Warhol,gouache,87,61,1993,Heritage Auctions,2021,113507
Pablo Picasso,oil,39,196,1918,Heritage Auctions,2010,978869
Elena Costa,pastel,57,130,1912,Christie's,2014,11176
Claude Monet,acrylic,73,194,1943,Christie's,2015,1005450
Tomas Berg,pastel,59,80,1921,Sotheby's,2024,2588
Jean-Michel Basquiat,gouache,105,125,1943,Phillips,2012,546140
Salvador Dali,mixed_media,29,140,1936,Sotheby's,2023,235006
Mikhail Volkov,acrylic,78,77,1886,Sotheby's,2016,8563
Vincent van Gogh,acrylic,109,184,2010,Bonhams,2020,1921822
Marcus Webb,acrylic,27,49,1946,Sotheby's,2019,3585
Gerhard Richter,oil,47,172,1991,Phillips,2021,449921
Tomas Berg,pastel,150,49,1978,Heritage Auctions,2013,2586
Tomas Berg,oil,153,157,1930,Phillips,2016,16833
Anna Petrova,pastel,100,189,1911,Phillips,2018,21606
Tomas Berg,acrylic,123,198,1955,Heritage Auctions,2012,14319
Sara Lindqvist,gouache,64,177,1957,Bonhams,2018,30395
Jeff Koons,acrylic,73,130,1962,Bonhams,2017,261873
Banksy,pastel,141,63,1901,Phillips,2018,191170
Rashid Karimov,acrylic,43,80,1959,Sotheby's,2022,2860
Pablo Picasso,oil,82,141,1898,Bonhams,2016,1674704
Elena Costa,watercolor,198,118,2006,Bonhams,2013,21105
Pablo Picasso,oil,128,76,1925,Heritage Auctions,2017,513586
David Hockney,oil,136,54,1998,Heritage Auctions,2018,195875
Lucia Romano,pastel,149,129,2020,Bonhams,2024,24413
Henrik Olsen,mixed_media,86,83,1950,Heritage Auctions,2017,14104
Gerhard Richter,mixed_media,39,93,1940,Phillips,2015,130132
Marcus Webb,oil,55,58,1939,Bonhams,2021,5182
Banksy,oil,126,124,1964,Heritage Auctions,2017,457504
Banksy,mixed_media,119,169,1885,Heritage Auctions,2016,695490
Mikhail Volkov,acrylic,119,127,2017,Heritage Auctions,2022,17829
David Hockney,mixed_media,76,89,1991,Bonhams,2010,123299
Sara Lindqvist,gouache,62,139,1912,Heritage Auctions,2018,10711
Sara Lindqvist,pastel,164,189,1886,Christie's,2020,68402
Lucia Romano,watercolor,32,86,1977,Phillips,2013,6832
Anna Petrova,mixed_media,91,127,1944,Christie's,2017,13823
Marcus Webb,oil,109,77,1897,Christie's,2022,12782
David Hockney,watercolor,25,179,1919,Sotheby's,2012,76069
Salvador Dali,pastel,75,139,1945,Phillips,2012,238735
Salvador Dali,watercolor,99,47,1886,Phillips,2019,165061
Sara Lindqvist,mixed_media,70,39,1942,Christie's,2021,12642
Rashid Karimov,oil,164,30,1968,Heritage Auctions,2016,8330
Vincent van Gogh,pastel,185,107,1883,Bonhams,2023,1231856
Tomas Berg,acrylic,182,137,1919,Bonhams,2012,29806
Gerhard Richter,pastel,157,143,1999,Bonhams,2023,537471
Gerhard Richter,acrylic,82,42,1951,Bonhams,2013,163265
Elena Costa,pastel,191,117,1966,Christie's,2017,43770
Jean-Michel Basquiat,mixed_media,74,110,1946,Phillips,2014,612302
Gerhard Richter,pastel,22,152,1928,Christie's,2013,100949
Henrik Olsen,pastel,81,196,2001,Bonhams,2017,15885
Vincent van Gogh,acrylic,76,123,1942,Phillips,2020,865890
Henrik Olsen,pastel,155,108,1988,Heritage Auctions,2015,11596
Lucia Romano,acrylic,98,84,1939,Christie's,2021,25310
Salvador Dali,gouache,157,196,1927,Sotheby's,2013,915867
Gerhard Richter,gouache,170,154,1952,Christie's,2023,463168
David Hockney,acrylic,65,97,1883,Heritage Auctions,2012,136736
Claude Monet,pastel,94,198,1912,Bonhams,2011,934577
Elena Costa,acrylic,140,142,1992,Phillips,2012,61705
Gerhard Richter,mixed_media,49,36,1982,Bonhams,2011,69247
Claude Monet,watercolor,58,164,1957,Christie's,2013,214947
Tomas Berg,pastel,172,178,1937,Heritage Auctions,2016,16109
Lucia Romano,acrylic,170,129,1958,Heritage Auctions,2019,50480
Salvador Dali,watercolor,180,74,1947,Christie's,2012,236300
Marcus Webb,oil,60,20,1984,Bonhams,2021,2745
Jeff Koons,oil,79,93,1952,Bonhams,2011,337368
Gerhard Richter,gouache,170,189,1930,Bonhams,2011,886989
Andy Warhol,acrylic,56,38,1895,Sotheby's,2022,87427
Elena Costa,acrylic,132,51,1999,Phillips,2021,12985
Gerhard Richter,pastel,158,146,1992,Christie's,2019,245427
Tomas Berg,gouache,102,174,1944,Christie's,2011,7424
Elena Costa,pastel,25,192,1948,Heritage Auctions,2010,9175
Jean-Michel Basquiat,mixed_media,152,186,1993,Phillips,2012,1884663
Tomas Berg,gouache,145,43,2000,Phillips,2016,2412
Salvador Dali,watercolor,104,125,2006,Phillips,2020,363785
Marcus Webb,oil,136,42,1960,Phillips,2015,7916
Sara Lindqvist,pastel,20,188,2018,Bonhams,2016,2935
Yuki Tanaka,acrylic,179,147,1993,Christie's,2013,97605
Andy Warhol,acrylic,132,198,2004,Christie's,2010,1233896
Rashid Karimov,watercolor,60,99,1883,Heritage Auctions,2016,3713
Salvador Dali,mixed_media,50,185,1919,Bonhams,2024,488031
Yuki Tanaka,gouache,89,126,2003,Bonhams,2013,32193
Andy Warhol,mixed_media,68,173,2010,Sotheby's,2023,244333
Tomas Berg,acrylic,149,88,1880,Phillips,2021,11806
Elena Costa,pastel,188,145,1918,Bonhams,2018,46499
Anna Petrova,pastel,159,116,1996,Phillips,2023,13266
David Hockney,pastel,118,79,1985,Christie's,2015,136314
Sara Lindqvist,mixed_media,189,186,1918,Bonhams,2010,83854
Elena Costa,acrylic,45,132,1905,Heritage Auctions,2024,17456
Andy Warhol,mixed_media,187,59,1899,Bonhams,2022,895977
Anna Petrova,pastel,197,121,1900,Phillips,2023,41604
Marcus Webb,mixed_media,101,180,2004,Heritage Auctions,2010,31249
David Hockney,gouache,195,93,1938,Christie's,2016,412417
Salvador Dali,mixed_media,62,197,1956,Christie's,2010,363641
Claude Monet,acrylic,111,115,1990,Sotheby's,2013,598511
Elena Costa,gouache,66,63,1924,Christie's,2019,10522
Rashid Karimov,gouache,81,147,1916,Sotheby's,2017,11986
Lucia Romano,acrylic,190,22,1999,Phillips,2020,15220
Vincent van Gogh,mixed_media,108,170,1956,Bonhams,2021,1236745
Jeff Koons,watercolor,118,143,1907,Sotheby's,2016,449364
Elena Costa,acrylic,199,95,1885,Bonhams,2014,30424
Claude Monet,pastel,147,93,1938,Heritage Auctions,2022,404846
Banksy,pastel,84,193,1915,Christie's,2024,329456
Claude Monet,acrylic,132,28,1973,Sotheby's,2011,252831
Anna Petrova,gouache,126,64,1931,Sotheby's,2022,12158
Mikhail Volkov,pastel,148,89,1922,Phillips,2024,16492
Henrik Olsen,acrylic,106,49,1999,Christie's,2012,8285
David Hockney,gouache,192,121,1973,Christie's,2022,286354
Gerhard Richter,pastel,51,136,1974,Phillips,2019,129977
Mikhail Volkov,oil,192,79,2000,Christie's,2019,31180
Marcus Webb,acrylic,176,76,1896,Bonhams,2024,35770
Tomas Berg,oil,55,31,1889,Phillips,2017,1481
David Hockney,pastel,54,119,1996,Phillips,2020,106563
Marcus Webb,mixed_media,170,59,1986,Christie's,2023,17560
Tomas Berg,acrylic,28,196,1974,Sotheby's,2017,4166
David Hockney,acrylic,45,195,1974,Heritage Auctions,2024,275996
Mikhail Volkov,oil,121,90,1928,Christie's,2023,28847
Vincent van Gogh,gouache,74,184,1885,Christie's,2022,765868
Andy Warhol,pastel,72,37,1933,Heritage Auctions,2013,91422
David Hockney,acrylic,57,172,1880,Phillips,2023,424842
Andy Warhol,pastel,84,64,1908,Christie's,2012,78541
David Hockney,pastel,102,24,1924,Phillips,2010,22413
Tomas Berg,pastel,49,36,2001,Bonhams,2022,666
Elena Costa,oil,135,148,1936,Heritage Auctions,2010,84085
Yuki Tanaka,acrylic,137,184,1887,Christie's,2017,246361
Tomas Berg,gouache,47,145,1993,Christie's,2024,1965
Rashid Karimov,watercolor,36,52,1950,Heritage Auctions,2020,1736
Anna Petrova,mixed_media,172,155,1955,Bonhams,2018,65383
Salvador Dali,gouache,49,187,1935,Bonhams,2017,301358
Tomas Berg,acrylic,136,122,1986,Christie's,2015,11644
Gerhard Richter,acrylic,59,195,2001,Christie's,2011,465574
Vincent van Gogh,mixed_media,44,115,1913,Heritage Auctions,2010,553307
Marcus Webb,pastel,104,191,1911,Bonhams,2015,33783
Tomas Berg,gouache,33,93,1959,Phillips,2011,1791
Banksy,watercolor,188,143,1937,Christie's,2015,684275
Mikhail Volkov,oil,91,166,1937,Bonhams,2023,31082
Rashid Karimov,pastel,192,184,1886,Heritage Auctions,2024,37509
Gerhard Richter,oil,66,89,1959,Phillips,2015,143156
Andy Warhol,pastel,188,122,1897,Sotheby's,2021,786024
Pablo Picasso,oil,155,75,1976,Bonhams,2017,774148
Mikhail Volkov,acrylic,103,165,1901,Christie's,2012,18125
Rashid Karimov,oil,192,40,1949,Bonhams,2020,11304
Rashid Karimov,mixed_media,126,89,1935,Heritage Auctions,2011,13011
Salvador Dali,acrylic,193,193,2004,Heritage Auctions,2020,840755
David Hockney,mixed_media,173,34,1881,Sotheby's,2014,265103
Andy Warhol,acrylic,94,103,1910,Christie's,2017,576635
Jean-Michel Basquiat,watercolor,117,156,1938,Heritage Auctions,2018,881752
Mikhail Volkov,oil,121,30,1991,Christie's,2017,7906
Anna Petrova,pastel,129,166,1983,Bonhams,2014,14001
Pablo Picasso,acrylic,63,178,1997,Phillips,2011,568209
Salvador Dali,watercolor,131,170,1982,Heritage Auctions,2011,413345
Jeff Koons,gouache,106,76,1965,Sotheby's,2011,149505
Salvador Dali,pastel,150,69,1969,Phillips,2021,294972
Andy Warhol,watercolor,46,57,1945,Sotheby's,2012,84044
Vincent van Gogh,watercolor,180,146,1998,Heritage Auctions,2022,1370351
